sentence,sentiment,clean_text
"It's fits like a glove and is strong, secure, and durable.","{'text': ""It's fits like a glove and is strong, secure, and durable."", 'sentiment': 'positive', 'score': 0.983611}",its fits like a glove and is strong secure and durable
O my gosh the best phone I have ever had.,"{'text': 'O my gosh the best phone I have ever had.', 'sentiment': 'positive', 'score': 0.929288}",o my gosh the best phone i have ever had
It's very attractive and appears to be of good quality.,"{'text': ""It's very attractive and appears to be of good quality."", 'sentiment': 'positive', 'score': 0.96607}",its very attractive and appears to be of good quality
I love all the features and form factor.,"{'text': 'I love all the features and form factor.', 'sentiment': 'positive', 'score': 0.97333}",i love all the features and form factor
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,"{'text': 'This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it', 'sentiment': 'negative', 'score': -0.935856}",this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it
poor quality and service.,"{'text': 'poor quality and service.', 'sentiment': 'negative', 'score': -0.981383}",poor quality and service
"The cable looks so thin and flimsy, it is scary.","{'text': 'The cable looks so thin and flimsy, it is scary.', 'sentiment': 'negative', 'score': -0.997329}",the cable looks so thin and flimsy it is scary
Great Earpiece.,"{'text': 'Great Earpiece.', 'sentiment': 'positive', 'score': 0.955027}",great earpiece
Excellent hands free tool.,"{'text': 'Excellent hands free tool.', 'sentiment': 'positive', 'score': 0.985882}",excellent hands free tool
Great for using with your home stereo.,"{'text': 'Great for using with your home stereo.', 'sentiment': 'positive', 'score': 0.914095}",great for using with your home stereo
Good product - incredible value.,"{'text': 'Good product - incredible value.', 'sentiment': 'positive', 'score': 0.984403}",good product  incredible value
Only had this a month but it's worked flawlessly so far.,"{'text': ""Only had this a month but it's worked flawlessly so far."", 'sentiment': 'negative', 'score': -0.622205}",only had this a month but its worked flawlessly so far
Works great.,"{'text': 'Works great.', 'sentiment': 'positive', 'score': 0.9845}",works great
Absolutel junk.,"{'text': 'Absolutel junk.', 'sentiment': 'negative', 'score': -0.781376}",absolutel junk
THAT one didn't work either.,"{'text': ""THAT one didn't work either."", 'sentiment': 'negative', 'score': -0.756164}",that one didnt work either
Battery life is real good.,"{'text': 'Battery life is real good.', 'sentiment': 'positive', 'score': 0.971845}",battery life is real good
Returned 8 hours later.,"{'text': 'Returned 8 hours later.', 'sentiment': 'neutral', 'score': 0}",returned  hours later
It's a great item.,"{'text': ""It's a great item."", 'sentiment': 'positive', 'score': 0.95201}",its a great item
Don't waste your money!.,"{'text': ""Don't waste your money!."", 'sentiment': 'negative', 'score': -0.808434}",dont waste your money
Love this headset!,"{'text': 'Love this headset!', 'sentiment': 'positive', 'score': 0.959743}",love this headset
"Not only will it drain your player, but may also potentially fry it.","{'text': 'Not only will it drain your player, but may also potentially fry it.', 'sentiment': 'negative', 'score': -0.611416}",not only will it drain your player but may also potentially fry it
Worked perfectly!,"{'text': 'Worked perfectly!', 'sentiment': 'positive', 'score': 0.986304}",worked perfectly
Unreliable - I'm giving up.,"{'text': ""Unreliable - I'm giving up."", 'sentiment': 'negative', 'score': -0.872921}",unreliable  im giving up
I gave it 5 stars because of the sound quality.,"{'text': 'I gave it 5 stars because of the sound quality.', 'sentiment': 'positive', 'score': 0.572012}",i gave it  stars because of the sound quality
Avoid this one if you can.,"{'text': 'Avoid this one if you can.', 'sentiment': 'negative', 'score': -0.729045}",avoid this one if you can
Reversible plug works great.,"{'text': 'Reversible plug works great.', 'sentiment': 'positive', 'score': 0.938714}",reversible plug works great
I wasted my little money with this earpiece.,"{'text': 'I wasted my little money with this earpiece.', 'sentiment': 'negative', 'score': -0.990256}",i wasted my little money with this earpiece
Very good phone.,"{'text': 'Very good phone.', 'sentiment': 'positive', 'score': 0.938925}",very good phone
"Best of all is the rotating feature, very helpful.","{'text': 'Best of all is the rotating feature, very helpful.', 'sentiment': 'positive', 'score': 0.99346}",best of all is the rotating feature very helpful
Comfort for our whole family.,"{'text': 'Comfort for our whole family.', 'sentiment': 'positive', 'score': 0.665597}",comfort for our whole family
"Good product, good seller.","{'text': 'Good product, good seller.', 'sentiment': 'positive', 'score': 0.963954}",good product good seller
I love this bluetooth!,"{'text': 'I love this bluetooth!', 'sentiment': 'positive', 'score': 0.988473}",i love this bluetooth
"First of all, it doesn't wear well.","{'text': ""First of all, it doesn't wear well."", 'sentiment': 'neutral', 'score': 0}",first of all it doesnt wear well
I am very impressed with this headset from Plantronics.,"{'text': 'I am very impressed with this headset from Plantronics.', 'sentiment': 'positive', 'score': 0.889084}",i am very impressed with this headset from plantronics
I got it because it was so small and adorable.,"{'text': 'I got it because it was so small and adorable.', 'sentiment': 'positive', 'score': 0.958887}",i got it because it was so small and adorable
Great phone!.,"{'text': 'Great phone!.', 'sentiment': 'positive', 'score': 0.890476}",great phone
I wouldn't recommend buying this product.,"{'text': ""I wouldn't recommend buying this product."", 'sentiment': 'negative', 'score': -0.706743}",i wouldnt recommend buying this product
Piece of Junk.,"{'text': 'Piece of Junk.', 'sentiment': 'negative', 'score': -0.675019}",piece of junk
Poorly contstruct hinge.,"{'text': 'Poorly contstruct hinge.', 'sentiment': 'negative', 'score': -0.992071}",poorly contstruct hinge
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems","{'text': 'This item is great, installed it, let it charged up overnite and it has been working good every since with no problems', 'sentiment': 'positive', 'score': 0.913194}",this item is great installed it let it charged up overnite and it has been working good every since with no problems
Great Phone.,"{'text': 'Great Phone.', 'sentiment': 'positive', 'score': 0.903296}",great phone
Don't buy it.,"{'text': ""Don't buy it."", 'sentiment': 'negative', 'score': -0.598502}",dont buy it
Excellent Phone.,"{'text': 'Excellent Phone.', 'sentiment': 'positive', 'score': 0.928603}",excellent phone
DO NOT PURCHASE THIS PHONE.,"{'text': 'DO NOT PURCHASE THIS PHONE.', 'sentiment': 'neutral', 'score': 0}",do not purchase this phone
The voice recognition thru the handset is excellent.,"{'text': 'The voice recognition thru the handset is excellent.', 'sentiment': 'positive', 'score': 0.947547}",the voice recognition thru the handset is excellent
This is hands down the best phone I've ever had.,"{'text': ""This is hands down the best phone I've ever had."", 'sentiment': 'positive', 'score': 0.552926}",this is hands down the best phone ive ever had
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.","{'text': 'Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.', 'sentiment': 'negative', 'score': -0.568424}",works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen
This one works and was priced right.,"{'text': 'This one works and was priced right.', 'sentiment': 'positive', 'score': 0.805704}",this one works and was priced right
Customer service was terrible.,"{'text': 'Customer service was terrible.', 'sentiment': 'negative', 'score': -0.993038}",customer service was terrible
Battery life still not long enough in Motorola Razor V3i.,"{'text': 'Battery life still not long enough in Motorola Razor V3i.', 'sentiment': 'neutral', 'score': 0}",battery life still not long enough in motorola razor vi
Sending it back.,"{'text': 'Sending it back.', 'sentiment': 'neutral', 'score': 0}",sending it back
Now I know that I made a wise decision.,"{'text': 'Now I know that I made a wise decision.', 'sentiment': 'positive', 'score': 0.905159}",now i know that i made a wise decision
Someone shouldve invented this sooner.,"{'text': 'Someone shouldve invented this sooner.', 'sentiment': 'negative', 'score': -0.798098}",someone shouldve invented this sooner
Good price.,"{'text': 'Good price.', 'sentiment': 'positive', 'score': 0.727793}",good price
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,"{'text': 'Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.', 'sentiment': 'positive', 'score': 0.907794}",everything worked on the first trythe device was certainly engineered in a clever way and the construction feels good
I received it quickly and it works great!!,"{'text': 'I received it quickly and it works great!!', 'sentiment': 'positive', 'score': 0.989728}",i received it quickly and it works great
Has been working great.,"{'text': 'Has been working great.', 'sentiment': 'positive', 'score': 0.98496}",has been working great
"As many people complained, I found this headset's microphone was very weak.","{'text': ""As many people complained, I found this headset's microphone was very weak."", 'sentiment': 'negative', 'score': -0.947732}",as many people complained i found this headsets microphone was very weak
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,"{'text': 'My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.', 'sentiment': 'positive', 'score': 0.308887}",my year old nokia  from tracfone holds the charge a lot better than this
They do not care about the consumer one bit.,"{'text': 'They do not care about the consumer one bit.', 'sentiment': 'negative', 'score': -0.708691}",they do not care about the consumer one bit
"This is a good battery, and it got here really fast.","{'text': 'This is a good battery, and it got here really fast.', 'sentiment': 'positive', 'score': 0.984328}",this is a good battery and it got here really fast
The instruction manual is lacking.,"{'text': 'The instruction manual is lacking.', 'sentiment': 'negative', 'score': -0.936899}",the instruction manual is lacking
Also its slim enough to fit into my alarm clock docking station without removing the case.,"{'text': 'Also its slim enough to fit into my alarm clock docking station without removing the case.', 'sentiment': 'neutral', 'score': 0}",also its slim enough to fit into my alarm clock docking station without removing the case
Phone now holds charge like it did when it was new.,"{'text': 'Phone now holds charge like it did when it was new.', 'sentiment': 'positive', 'score': 0.874102}",phone now holds charge like it did when it was new
The battery is unreliable as well as the service use antena.,"{'text': 'The battery is unreliable as well as the service use antena.', 'sentiment': 'negative', 'score': -0.92707}",the battery is unreliable as well as the service use antena
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,"{'text': ""It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG)."", 'sentiment': 'negative', 'score': -0.954424}",its uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg
We have gotten a lot of compliments on it.,"{'text': 'We have gotten a lot of compliments on it.', 'sentiment': 'positive', 'score': 0.662956}",we have gotten a lot of compliments on it
This is definitely a must have if your state does not allow cell phone usage while driving.,"{'text': 'This is definitely a must have if your state does not allow cell phone usage while driving.', 'sentiment': 'neutral', 'score': 0}",this is definitely a must have if your state does not allow cell phone usage while driving
I want my money back.,"{'text': 'I want my money back.', 'sentiment': 'neutral', 'score': 0}",i want my money back
I love this device.,"{'text': 'I love this device.', 'sentiment': 'positive', 'score': 0.965557}",i love this device
I am also very happy with the price.,"{'text': 'I am also very happy with the price.', 'sentiment': 'positive', 'score': 0.978939}",i am also very happy with the price
I ordered this product first and was unhappy with it immediately.,"{'text': 'I ordered this product first and was unhappy with it immediately.', 'sentiment': 'negative', 'score': -0.950549}",i ordered this product first and was unhappy with it immediately
The Ngage is still lacking in earbuds.,"{'text': 'The Ngage is still lacking in earbuds.', 'sentiment': 'negative', 'score': -0.85583}",the ngage is still lacking in earbuds
I was able to do voice dialing in the car with no problem.,"{'text': 'I was able to do voice dialing in the car with no problem.', 'sentiment': 'positive', 'score': 0.639804}",i was able to do voice dialing in the car with no problem
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.","{'text': 'I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.', 'sentiment': 'negative', 'score': -0.73673}",i have  bars on my cell phone when i am home but you cant not hear anything
"good item, low price.","{'text': 'good item, low price.', 'sentiment': 'negative', 'score': -0.778207}",good item low price
"However-the riingtones are not the best, and neither are the games.","{'text': 'However-the riingtones are not the best, and neither are the games.', 'sentiment': 'negative', 'score': -0.687379}",howeverthe riingtones are not the best and neither are the games
The plug did not work very well.,"{'text': 'The plug did not work very well.', 'sentiment': 'negative', 'score': -0.817994}",the plug did not work very well
AMAZON SUCKS.,"{'text': 'AMAZON SUCKS.', 'sentiment': 'negative', 'score': -0.983717}",amazon sucks
Rip off---- Over charge shipping.,"{'text': 'Rip off---- Over charge shipping.', 'sentiment': 'negative', 'score': -0.969041}",rip off over charge shipping
VERY comfortable.,"{'text': 'VERY comfortable.', 'sentiment': 'positive', 'score': 0.704701}",very comfortable
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,"{'text': 'The battery is working well as a replacement for the original that came with the phone over 2 years ago.', 'sentiment': 'positive', 'score': 0.687988}",the battery is working well as a replacement for the original that came with the phone over  years ago
The reception is excellent!,"{'text': 'The reception is excellent!', 'sentiment': 'positive', 'score': 0.980185}",the reception is excellent
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.","{'text': 'It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.', 'sentiment': 'positive', 'score': 0.861224}",it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.","{'text': ""very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset."", 'sentiment': 'negative', 'score': -0.727392}",very clear quality sound and you dont have to mess with the sound on your ipod since you have the sound buttons on the headset
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,"{'text': ""1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2."", 'sentiment': 'negative', 'score': -0.648083}",long lasting battery you dont have to recharge it as frequentyly as some of the flip phones
Obviously there is a problem with the adhesive.,"{'text': 'Obviously there is a problem with the adhesive.', 'sentiment': 'negative', 'score': -0.893007}",obviously there is a problem with the adhesive
Very disappointing.,"{'text': 'Very disappointing.', 'sentiment': 'negative', 'score': -0.995927}",very disappointing
"It was an inexpensive piece, but I would still have expected better quality.","{'text': 'It was an inexpensive piece, but I would still have expected better quality.', 'sentiment': 'positive', 'score': 0.828158}",it was an inexpensive piece but i would still have expected better quality
It is practically useless and did not add any kind of boost to my reception after I bought it.,"{'text': 'It is practically useless and did not add any kind of boost to my reception after I bought it.', 'sentiment': 'negative', 'score': -0.949559}",it is practically useless and did not add any kind of boost to my reception after i bought it
Excellent sound quality.,"{'text': 'Excellent sound quality.', 'sentiment': 'positive', 'score': 0.986467}",excellent sound quality
Was not happy.,"{'text': 'Was not happy.', 'sentiment': 'negative', 'score': -0.849131}",was not happy
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,"{'text': 'A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!', 'sentiment': 'negative', 'score': -0.96693}",a piece of junk that broke after being on my phone for  days
New Battery works great in phone.,"{'text': 'New Battery works great in phone.', 'sentiment': 'positive', 'score': 0.961695}",new battery works great in phone
Worst customer service.,"{'text': 'Worst customer service.', 'sentiment': 'negative', 'score': -0.990745}",worst customer service
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).","{'text': ""I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!)."", 'sentiment': 'positive', 'score': 0.840364}",ive dropped my phone more times than i can say even on concrete and my phone is still great knock on wood
Reception is terrible and full of static.,"{'text': 'Reception is terrible and full of static.', 'sentiment': 'negative', 'score': -0.936672}",reception is terrible and full of static
Good audio quality.,"{'text': 'Good audio quality.', 'sentiment': 'positive', 'score': 0.876779}",good audio quality
This little device has transformed my organizational capability and made my life a whole lot easier.,"{'text': 'This little device has transformed my organizational capability and made my life a whole lot easier.', 'sentiment': 'positive', 'score': 0.913426}",this little device has transformed my organizational capability and made my life a whole lot easier
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.","{'text': 'I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.', 'sentiment': 'negative', 'score': -0.867215}",i was sitting in my vehicle with the cradle on my belt and the headset lost signal
Were JERKS on the phone.,"{'text': 'Were JERKS on the phone.', 'sentiment': 'negative', 'score': -0.931074}",were jerks on the phone
Works like a charm.. Works as advertised.,"{'text': 'Works like a charm.. Works as advertised.', 'sentiment': 'positive', 'score': 0.952381}",works like a charm works as advertised
"Comfortable, Nice Range, Good Battery Life.","{'text': 'Comfortable, Nice Range, Good Battery Life.', 'sentiment': 'positive', 'score': 0.980691}",comfortable nice range good battery life
Their network coverage in Los Angeles is horrible.,"{'text': 'Their network coverage in Los Angeles is horrible.', 'sentiment': 'negative', 'score': -0.956829}",their network coverage in los angeles is horrible
Excellent starter wireless headset.,"{'text': 'Excellent starter wireless headset.', 'sentiment': 'positive', 'score': 0.840613}",excellent starter wireless headset
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.","{'text': 'The loudspeaker option is great, the bumpers with the lights is very ... appealing.', 'sentiment': 'positive', 'score': 0.848596}",the loudspeaker option is great the bumpers with the lights is very  appealing
The only thing that I think could improve is the sound leaks out from the headset.,"{'text': 'The only thing that I think could improve is the sound leaks out from the headset.', 'sentiment': 'neutral', 'score': 0}",the only thing that i think could improve is the sound leaks out from the headset
"First off the reception sucks, I have never had more than 2 bars, ever.","{'text': 'First off the reception sucks, I have never had more than 2 bars, ever.', 'sentiment': 'negative', 'score': -0.919024}",first off the reception sucks i have never had more than  bars ever
The phone gets EXTREMELY HOT!,"{'text': 'The phone gets EXTREMELY HOT!', 'sentiment': 'positive', 'score': 0.491065}",the phone gets extremely hot
"The microphone also works well, but (according to people I have called) it applifies everything.","{'text': 'The microphone also works well, but (according to people I have called) it applifies everything.', 'sentiment': 'neutral', 'score': 0}",the microphone also works well but according to people i have called it applifies everything
Nice design and quality.,"{'text': 'Nice design and quality.', 'sentiment': 'positive', 'score': 0.971981}",nice design and quality
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.","{'text': 'Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.', 'sentiment': 'negative', 'score': -0.92639}",also if your phone is dropped this case is not going to save it specially when dropped face down
"It is light, easy to use, and has very clear reception and transmission.","{'text': 'It is light, easy to use, and has very clear reception and transmission.', 'sentiment': 'positive', 'score': 0.833214}",it is light easy to use and has very clear reception and transmission
"bad fit, way too big.","{'text': 'bad fit, way too big.', 'sentiment': 'negative', 'score': -0.908525}",bad fit way too big
It definitely was not as good as my S11.,"{'text': 'It definitely was not as good as my S11.', 'sentiment': 'negative', 'score': -0.503648}",it definitely was not as good as my s
awesome device.,"{'text': 'awesome device.', 'sentiment': 'positive', 'score': 0.933788}",awesome device
Waste of money.,"{'text': 'Waste of money.', 'sentiment': 'negative', 'score': -0.933804}",waste of money
"I had ordered a motorola data cable, got a very well finished and working product.","{'text': 'I had ordered a motorola data cable, got a very well finished and working product.', 'sentiment': 'positive', 'score': 0.951792}",i had ordered a motorola data cable got a very well finished and working product
Love This Phone.,"{'text': 'Love This Phone.', 'sentiment': 'positive', 'score': 0.93798}",love this phone
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,"{'text': ""I was looking for this headset for a long time and now that I've got it I couldn't be happier."", 'sentiment': 'positive', 'score': 0.883984}",i was looking for this headset for a long time and now that ive got it i couldnt be happier
"I'll be drivng along, and my headset starts ringing for no reason.","{'text': ""I'll be drivng along, and my headset starts ringing for no reason."", 'sentiment': 'negative', 'score': -0.866279}",ill be drivng along and my headset starts ringing for no reason
Display is excellent and camera is as good as any from that year.,"{'text': 'Display is excellent and camera is as good as any from that year.', 'sentiment': 'positive', 'score': 0.992559}",display is excellent and camera is as good as any from that year
Battery life is also great!,"{'text': 'Battery life is also great!', 'sentiment': 'positive', 'score': 0.984673}",battery life is also great
The worst phone I've ever had.... Only had it for a few months.,"{'text': ""The worst phone I've ever had.... Only had it for a few months."", 'sentiment': 'negative', 'score': -0.977971}",the worst phone ive ever had only had it for a few months
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,"{'text': 'Not a good item.. It worked for a while then started having problems in my auto reverse tape player.', 'sentiment': 'negative', 'score': -0.765844}",not a good item it worked for a while then started having problems in my auto reverse tape player
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,"{'text': 'This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.', 'sentiment': 'negative', 'score': -0.895089}",this is so embarassing and also my ears hurt if i try to push the ear plug into my ear
Protects the phone on all sides.,"{'text': 'Protects the phone on all sides.', 'sentiment': 'neutral', 'score': 0}",protects the phone on all sides
This is a VERY average phone with bad battery life that operates on a weak network.,"{'text': 'This is a VERY average phone with bad battery life that operates on a weak network.', 'sentiment': 'negative', 'score': -0.96988}",this is a very average phone with bad battery life that operates on a weak network
"Clear Skype Calls, Long Battery Life, Long Range.","{'text': 'Clear Skype Calls, Long Battery Life, Long Range.', 'sentiment': 'neutral', 'score': 0}",clear skype calls long battery life long range
Soyo technology sucks.,"{'text': 'Soyo technology sucks.', 'sentiment': 'negative', 'score': -0.987603}",soyo technology sucks
Great Hands Free Device.,"{'text': 'Great Hands Free Device.', 'sentiment': 'positive', 'score': 0.941994}",great hands free device
"you can even take self portraits with the outside (exterior) display, very cool.","{'text': 'you can even take self portraits with the outside (exterior) display, very cool.', 'sentiment': 'positive', 'score': 0.94807}",you can even take self portraits with the outside exterior display very cool
Same problem as others have mentioned.,"{'text': 'Same problem as others have mentioned.', 'sentiment': 'negative', 'score': -0.749699}",same problem as others have mentioned
After trying many many handsfree gadgets this is the one that finally works well.,"{'text': 'After trying many many handsfree gadgets this is the one that finally works well.', 'sentiment': 'positive', 'score': 0.975244}",after trying many many handsfree gadgets this is the one that finally works well
Magical Help.,"{'text': 'Magical Help.', 'sentiment': 'positive', 'score': 0.94892}",magical help
The worst piece of crap ever along with the Verizon customer service.,"{'text': 'The worst piece of crap ever along with the Verizon customer service.', 'sentiment': 'negative', 'score': -0.992011}",the worst piece of crap ever along with the verizon customer service
Poor sound quality.,"{'text': 'Poor sound quality.', 'sentiment': 'negative', 'score': -0.966114}",poor sound quality
The best phone in market :).,"{'text': 'The best phone in market :).', 'sentiment': 'positive', 'score': 0.965491}",the best phone in market
It worked very well.,"{'text': 'It worked very well.', 'sentiment': 'positive', 'score': 0.966136}",it worked very well
The company shipped my product very promptly and it works well.,"{'text': 'The company shipped my product very promptly and it works well.', 'sentiment': 'positive', 'score': 0.980211}",the company shipped my product very promptly and it works well
Exactly what I wanted.,"{'text': 'Exactly what I wanted.', 'sentiment': 'neutral', 'score': 0}",exactly what i wanted
The picture resolution is far below what other comparably-priced phones are offering today.,"{'text': 'The picture resolution is far below what other comparably-priced phones are offering today.', 'sentiment': 'positive', 'score': 0.754285}",the picture resolution is far below what other comparablypriced phones are offering today
This is a great deal.,"{'text': 'This is a great deal.', 'sentiment': 'positive', 'score': 0.986736}",this is a great deal
"Excellent product, I am very satisfied with the purchase.","{'text': 'Excellent product, I am very satisfied with the purchase.', 'sentiment': 'positive', 'score': 0.993802}",excellent product i am very satisfied with the purchase
I highly recommend these and encourage people to give them a try.,"{'text': 'I highly recommend these and encourage people to give them a try.', 'sentiment': 'positive', 'score': 0.966195}",i highly recommend these and encourage people to give them a try
Better than you'd expect.,"{'text': ""Better than you'd expect."", 'sentiment': 'positive', 'score': 0.800176}",better than youd expect
"Using all earpieces, left or right, this thing will not stay on my ear.","{'text': 'Using all earpieces, left or right, this thing will not stay on my ear.', 'sentiment': 'negative', 'score': -0.773428}",using all earpieces left or right this thing will not stay on my ear
Great product and price.,"{'text': 'Great product and price.', 'sentiment': 'positive', 'score': 0.908716}",great product and price
"Sounds good reasonably priced and effective, Its that simple !","{'text': 'Sounds good reasonably priced and effective, Its that simple !', 'sentiment': 'positive', 'score': 0.993781}",sounds good reasonably priced and effective its that simple
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,"{'text': ""Still Waiting...... I'm sure this item would work well.. if I ever recieve it!"", 'sentiment': 'negative', 'score': -0.453264}",still waiting im sure this item would work well if i ever recieve it
what a disappointment,"{'text': 'what a disappointment', 'sentiment': 'negative', 'score': -0.964496}",what a disappointment
Very prompt service.,"{'text': 'Very prompt service.', 'sentiment': 'positive', 'score': 0.98172}",very prompt service
Excellent product for the price.,"{'text': 'Excellent product for the price.', 'sentiment': 'positive', 'score': 0.935741}",excellent product for the price
Very pleased with this headset.,"{'text': 'Very pleased with this headset.', 'sentiment': 'positive', 'score': 0.976435}",very pleased with this headset
don't waste your money and time.,"{'text': ""don't waste your money and time."", 'sentiment': 'negative', 'score': -0.759453}",dont waste your money and time
I especially love the long battery life.,"{'text': 'I especially love the long battery life.', 'sentiment': 'positive', 'score': 0.94854}",i especially love the long battery life
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.","{'text': ""It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out."", 'sentiment': 'negative', 'score': -0.963862}",its so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out
Works great.,"{'text': 'Works great.', 'sentiment': 'positive', 'score': 0.9845}",works great
Plantronics Bluetooth Excelent Buy.,"{'text': 'Plantronics Bluetooth Excelent Buy.', 'sentiment': 'neutral', 'score': 0}",plantronics bluetooth excelent buy
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,"{'text': 'I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.', 'sentiment': 'negative', 'score': -0.965352}",i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service
I'll be looking for a new earpiece.,"{'text': ""I'll be looking for a new earpiece."", 'sentiment': 'positive', 'score': 0.632037}",ill be looking for a new earpiece
I highly recommend this device to everyone!,"{'text': 'I highly recommend this device to everyone!', 'sentiment': 'positive', 'score': 0.969305}",i highly recommend this device to everyone
Jawbone Era is awesome too!,"{'text': 'Jawbone Era is awesome too!', 'sentiment': 'positive', 'score': 0.926404}",jawbone era is awesome too
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,"{'text': 'We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement', 'sentiment': 'negative', 'score': -0.712732}",we received a white colored battery that goes dead after a couple hoursthe original used to last a week  but still lasts longer than thereplacement
After a year the battery went completely dead on my headset.,"{'text': 'After a year the battery went completely dead on my headset.', 'sentiment': 'negative', 'score': -0.89566}",after a year the battery went completely dead on my headset
"I have used several phone in two years, but this one is the best.","{'text': 'I have used several phone in two years, but this one is the best.', 'sentiment': 'positive', 'score': 0.963664}",i have used several phone in two years but this one is the best
An Awesome New Look For Fall 2000!.,"{'text': 'An Awesome New Look For Fall 2000!.', 'sentiment': 'positive', 'score': 0.961103}",an awesome new look for fall
This is the first phone I've had that has been so cheaply made.,"{'text': ""This is the first phone I've had that has been so cheaply made."", 'sentiment': 'negative', 'score': -0.309148}",this is the first phone ive had that has been so cheaply made
"Att is not clear, sound is very distorted and you have to yell when you talk.","{'text': 'Att is not clear, sound is very distorted and you have to yell when you talk.', 'sentiment': 'negative', 'score': -0.95027}",att is not clear sound is very distorted and you have to yell when you talk
The plastic breaks really easy on this clip.,"{'text': 'The plastic breaks really easy on this clip.', 'sentiment': 'positive', 'score': 0.626639}",the plastic breaks really easy on this clip
Price is good too.,"{'text': 'Price is good too.', 'sentiment': 'positive', 'score': 0.894586}",price is good too
Don't make the same mistake I did.,"{'text': ""Don't make the same mistake I did."", 'sentiment': 'negative', 'score': -0.9292}",dont make the same mistake i did
Oh and I forgot to also mention the weird color effect it has on your phone.,"{'text': 'Oh and I forgot to also mention the weird color effect it has on your phone.', 'sentiment': 'neutral', 'score': 0}",oh and i forgot to also mention the weird color effect it has on your phone
I'm using it with an iriver SPINN (with case) and it fits fine.,"{'text': ""I'm using it with an iriver SPINN (with case) and it fits fine."", 'sentiment': 'positive', 'score': 0.920739}",im using it with an iriver spinn with case and it fits fine
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,"{'text': ""Also the area where my unit broke).- I'm not too fond of the magnetic strap."", 'sentiment': 'neutral', 'score': 0}",also the area where my unit broke im not too fond of the magnetic strap
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.","{'text': 'Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.', 'sentiment': 'positive', 'score': 0.983511}",overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception
"every thing on phone work perfectly, she like it.","{'text': 'every thing on phone work perfectly, she like it.', 'sentiment': 'positive', 'score': 0.932057}",every thing on phone work perfectly she like it
